,account id,average deposit amount,current balance,product type,profit,household id,active,predicted loss,new household,open date,last active
0,IpKvtakq,1133.7593795149114,60742.16274769576,7,15,DRpBHj6Q,0,0,0,2014,2022
1,RQVXTvIB,505.44950642576487,31215.28142228706,4,84,hxRlV8fK,1,0,0,2011,2022
2,mjk6kGRv,1314.779242065974,70077.18931888323,6,60,SbhFCjAz,1,0,0,2019,2022
3,J9CgNp7V,737.4484464356578,39397.94585135796,2,53,H53rQo1q,1,0,1,2014,2022
4,lB6qR08q,1393.5741444404125,72903.72846924883,9,85,n3sA2ifX,1,0,0,2018,2022
5,2dWCSSU8,1315.5636128431947,71843.59879271689,1,83,XOzzPMoI,1,0,0,2019,2022
6,hucr1cyH,1190.652779249112,64929.780753987296,5,25,A9lpRnGs,1,0,0,2018,2022
7,0HtRSxZZ,1019.2310319562405,56946.248452867294,10,79,8s1Fh1uy,0,0,0,2019,2022
8,gbd4UqRF,982.3352645077458,50302.36863806833,1,53,DwjCJSNw,1,0,0,2013,2022
9,BD24o4or,653.5670161124779,36789.32629456793,3,97,Xb79BZ3m,0,0,0,2014,2022
10,fvNtEEEE,683.4235226929238,37063.72003284685,7,43,I67a1KPk,1,0,0,2015,2022
11,viJjZu6h,1137.3484659776095,63284.81972838989,2,73,FXcFiCTm,1,0,0,2011,2022
12,Q95FLGxx,1163.005058586583,63726.14551115704,3,99,w6l1s9ds,1,0,0,2020,2022
13,3KaIXBM4,610.686763653847,36319.32501505978,1,90,f2tZdMxu,1,0,0,2018,2022
14,Ko58NXJj,1021.3941549410022,53698.509270841496,8,57,LccmELkU,1,0,0,2010,2022
15,kDg6imk7,675.4925746419872,37398.77169472874,4,13,YN1YGi9w,1,0,0,2012,2022
16,3ApHgPVp,1203.1817051581231,63214.86995166514,4,74,UIX8wapv,1,0,0,2012,2022
17,tV4uQOgO,922.5440233963958,49952.139837154915,4,58,UsEQV6DS,1,1,0,2013,2022
18,k25r6UdW,1346.3845943484916,70890.15529317688,9,14,631dtpAA,1,0,0,2013,2022
19,5Sn04m4G,837.6549651584901,49640.09712189004,3,8,Tnb1bjQ0,1,0,0,2018,2022
20,7DZI4ger,1048.5416249834607,56808.347661096705,4,54,rgJLM4Lm,1,0,0,2021,2022
21,baPCW0tJ,910.0020409073757,49072.29247248579,8,91,lFsHemZr,1,0,0,2010,2022
22,53PP0ozS,1257.519978703965,67826.456224624,6,39,93DnZ4P8,1,0,0,2012,2022
23,r32Abz5i,994.4408459560497,55846.61822530593,1,44,IjoK1PMk,1,0,0,2021,2022
24,Qw4FSlfR,1337.630745882917,69641.8987238786,10,97,6LUhxCyl,1,1,1,2019,2022
25,MbAkDn1Y,1321.4656633164968,71032.76287614307,8,21,nLxJ8rrk,1,0,0,2013,2022
26,Lziwb1Z1,1494.4803394448672,79145.08179465728,5,96,S95kFdM8,0,0,0,2019,2022
27,uuaebuf6,1136.554291910447,62889.93917691359,1,30,PxU2dhNM,1,0,0,2017,2022
28,mzALjk7W,1467.497096464309,76082.23364771203,5,94,WTRDDCDx,1,0,0,2021,2022
29,AHUnXZ3G,1223.784636414951,67794.12166549654,5,46,UF1ocLk1,1,0,0,2019,2022
30,iEVmSRbu,905.0730858153452,49894.18699953915,8,0,NVRA4r7r,1,1,0,2016,2022
31,AKpLkJak,1055.6795016738058,58321.622293661494,6,34,pIRtAQ9x,1,0,0,2021,2022
32,bm8K1taB,903.8000160675365,47161.07148308438,3,96,DdkkYXV1,1,0,0,2015,2022
33,RrjX0qsz,910.5494120972608,50065.62827745185,1,62,7b0kXfYJ,1,0,0,2013,2022
34,tj7jrXe1,1134.7619621540348,61904.3233621769,10,11,XJWbMaIB,1,0,0,2014,2022
35,SYSlcXWs,674.0777943787473,38344.05902209443,5,77,dB3pe2hY,1,0,0,2017,2022
36,WejWNnAN,1125.776621873099,62054.44074382125,5,87,osFjF19v,1,1,0,2011,2022
